2023-10-06 11:12:57.095 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:12:57.610 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection fa4905e9-f18f-4e0f-a743-80a05eab37a2 is creating 
2023-10-06 11:12:57.755 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:12:58.204 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 805328e2-648d-4ac7-8f3b-ea546ff7786a is creating 
2023-10-06 11:12:58.339 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:12:58.757 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 94f54edd-56bb-4fac-8451-afd268745faa is creating 
2023-10-06 11:12:58.759 [main] INFO  o.e.c.c.RabbitMqConnectionPool(62) -  Create InternalPool with 3 Connection in Pool
2023-10-06 11:12:58.762 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(100) -   Object Connection 94f54edd-56bb-4fac-8451-afd268745faa is calling !
2023-10-06 11:12:58.763 [main] INFO  o.e.c.c.RabbitMqConnectionPool(85) -   Quantity connection Active in Connection pool: 1
2023-10-06 11:12:58.763 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(106) -   Object Connection 94f54edd-56bb-4fac-8451-afd268745faa is returning !
2023-10-06 11:12:58.913 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 1 is creating 
2023-10-06 11:12:59.045 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 2 is creating 
2023-10-06 11:12:59.185 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 3 is creating 
2023-10-06 11:12:59.323 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 4 is creating 
2023-10-06 11:12:59.456 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 5 is creating 
2023-10-06 11:12:59.590 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 6 is creating 
2023-10-06 11:12:59.730 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 7 is creating 
2023-10-06 11:12:59.866 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 8 is creating 
2023-10-06 11:12:59.998 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 9 is creating 
2023-10-06 11:13:00.131 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 10 is creating 
2023-10-06 11:13:00.133 [main] INFO  o.e.config.channel.ChannelPool(57) -  Create InternalPool with 10 Channel in Pool
2023-10-06 11:13:00.143 [main] INFO  o.e.c.PaymentController(33) -  Server is running on port 8080
2023-10-06 11:13:39.260 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:13:39.262 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:13:39.398 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:13:39.399 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 139 millisecond
2023-10-06 11:14:16.513 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:14:16.988 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 3d5852d7-8d54-42d9-b3e8-e51c68552915 is creating 
2023-10-06 11:14:17.139 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:14:17.593 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 43c6bd09-c3ec-4a62-9e7b-360ada8856eb is creating 
2023-10-06 11:14:17.733 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:14:18.151 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 9bea4455-3072-4944-a4b3-5fb31a9a686c is creating 
2023-10-06 11:14:18.151 [main] INFO  o.e.c.c.RabbitMqConnectionPool(62) -  Create InternalPool with 3 Connection in Pool
2023-10-06 11:14:18.152 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(100) -   Object Connection 9bea4455-3072-4944-a4b3-5fb31a9a686c is calling !
2023-10-06 11:14:18.152 [main] INFO  o.e.c.c.RabbitMqConnectionPool(85) -   Quantity connection Active in Connection pool: 1
2023-10-06 11:14:18.153 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(106) -   Object Connection 9bea4455-3072-4944-a4b3-5fb31a9a686c is returning !
2023-10-06 11:14:18.295 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 1 is creating 
2023-10-06 11:14:18.429 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 2 is creating 
2023-10-06 11:14:18.564 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 3 is creating 
2023-10-06 11:14:18.700 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 4 is creating 
2023-10-06 11:14:18.836 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 5 is creating 
2023-10-06 11:14:18.977 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 6 is creating 
2023-10-06 11:14:19.113 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 7 is creating 
2023-10-06 11:14:19.248 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 8 is creating 
2023-10-06 11:14:19.384 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 9 is creating 
2023-10-06 11:14:19.518 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 10 is creating 
2023-10-06 11:14:19.518 [main] INFO  o.e.config.channel.ChannelPool(57) -  Create InternalPool with 10 Channel in Pool
2023-10-06 11:14:19.526 [main] INFO  o.e.c.PaymentController(33) -  Server is running on port 8080
2023-10-06 11:14:54.802 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:14:54.805 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:14:54.947 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:14:54.948 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 146 millisecond
2023-10-06 11:15:57.626 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:15:58.129 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 087f22fd-6c9d-4340-aab0-322a10fb309c is creating 
2023-10-06 11:15:58.262 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:15:58.656 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection c03fb602-bccb-4049-b16a-1ad09ae889f4 is creating 
2023-10-06 11:15:58.813 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:15:59.293 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 128ac3db-258c-4768-a633-1130d56853bc is creating 
2023-10-06 11:15:59.293 [main] INFO  o.e.c.c.RabbitMqConnectionPool(62) -  Create InternalPool with 3 Connection in Pool
2023-10-06 11:15:59.294 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(100) -   Object Connection 128ac3db-258c-4768-a633-1130d56853bc is calling !
2023-10-06 11:15:59.296 [main] INFO  o.e.c.c.RabbitMqConnectionPool(85) -   Quantity connection Active in Connection pool: 1
2023-10-06 11:15:59.296 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(106) -   Object Connection 128ac3db-258c-4768-a633-1130d56853bc is returning !
2023-10-06 11:15:59.459 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 1 is creating 
2023-10-06 11:15:59.614 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 2 is creating 
2023-10-06 11:15:59.770 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 3 is creating 
2023-10-06 11:15:59.926 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 4 is creating 
2023-10-06 11:16:00.083 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 5 is creating 
2023-10-06 11:16:00.238 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 6 is creating 
